Training for lr 0.000306, dropouts 0.115252, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.790000, lr 0.001048, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.006189, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.043102, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000003, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.033291, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000639, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.003348, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
