Training for lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.000032
Training for lr 0.000118, dropouts 0.818501, beta1 0.985936, beta2 0.996025, weight_decay 0.000000
Training for lr 0.000118, dropouts 0.818501, beta1 0.985936, beta2 0.916729, weight_decay 3.016743
Training for lr 0.000118, dropouts 0.818501, beta1 0.985936, beta2 0.916729, weight_decay 5.862741
Training for lr 0.000118, dropouts 0.818501, beta1 0.985936, beta2 0.916729, weight_decay 0.001177
Training for lr 0.000118, dropouts 0.818501, beta1 0.985936, beta2 0.916729, weight_decay 0.000000
Training for lr 0.000118, dropouts 0.818501, beta1 0.996025, beta2 0.985936, weight_decay 3.016743
Training for lr 0.000118, dropouts 0.818501, beta1 0.996025, beta2 0.985936, weight_decay 5.862741
Training for lr 0.000118, dropouts 0.818501, beta1 0.996025, beta2 0.985936, weight_decay 0.001177
Training for lr 0.000118, dropouts 0.818501, beta1 0.996025, beta2 0.985936, weight_decay 0.000000
Training for lr 0.000118, dropouts 0.818501, beta1 0.996025, beta2 0.916729, weight_decay 3.016743
Training for lr 0.000118, dropouts 0.818501, beta1 0.996025, beta2 0.916729, weight_decay 5.862741
Training for lr 0.085489, dropouts 0.136504, beta1 0.996025, beta2 0.916729, weight_decay 0.010644
Training for lr 0.010977, dropouts 0.720112, beta1 0.996025, beta2 0.916729, weight_decay 0.125618
Training for lr 0.010219, dropouts 0.522143, beta1 0.996025, beta2 0.916729, weight_decay 2.099893
Training for lr 0.003869, dropouts 0.292147, beta1 0.996025, beta2 0.916729, weight_decay 0.000018
Training for lr 0.000870, dropouts 0.512299, beta1 0.996025, beta2 0.916729, weight_decay 0.000186
New best model acc 0.608000, lr 0.000870, dropouts 0.512299, beta1 0.996025, beta2 0.916729, weight_decay 0.000186
Training for lr 0.000870, dropouts 0.512299, beta1 0.996025, beta2 0.916729, weight_decay 0.000011
Training for lr 0.000870, dropouts 0.512299, beta1 0.996025, beta2 0.916729, weight_decay 0.001121
Training for lr 0.001741, dropouts 0.362979, beta1 0.000000, beta2 0.000000, weight_decay 5.215190
Training for lr 0.003832, dropouts 0.796214, beta1 0.000000, beta2 0.000000, weight_decay 0.000190
Training for lr 0.003454, dropouts 0.515801, beta1 0.000000, beta2 0.000000, weight_decay 0.000316
Training for lr 0.002286, dropouts 0.040672, beta1 0.000000, beta2 0.000000, weight_decay 0.000122
Training for lr 0.000857, dropouts 0.074322, beta1 0.000000, beta2 0.000000, weight_decay 0.440240
Training for lr 0.000742, dropouts 0.068957, beta1 0.000000, beta2 0.000000, weight_decay 0.007897
Training for lr 0.000646, dropouts 0.566138, beta1 0.000000, beta2 0.000000, weight_decay 0.481626
Training for lr 0.003888, dropouts 0.466392, beta1 0.000000, beta2 0.000000, weight_decay 0.000285
Training for lr 0.006199, dropouts 0.203973, beta1 0.000000, beta2 0.000000, weight_decay 0.000031
Training for lr 0.004361, dropouts 0.563778, beta1 0.000000, beta2 0.000000, weight_decay 0.053874
Training for lr 0.009671, dropouts 0.035794, beta1 0.000000, beta2 0.000000, weight_decay 0.045096
Training for lr 0.006708, dropouts 0.063585, beta1 0.000000, beta2 0.000000, weight_decay 0.002323
Training for lr 0.001348, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
New best model acc 0.640000, lr 0.001348, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
New best model acc 0.670000, lr 0.001348, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001348, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.001348, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.001348, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.001348, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.001348, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.001348, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
New best model acc 0.685000, lr 0.000771, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
New best model acc 0.692000, lr 0.000771, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.693000, lr 0.000771, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000771, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
New best model acc 0.703000, lr 0.000771, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000771, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000771, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000771, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000771, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000771, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000007, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000007, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000007, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000007, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000007, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000007, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
